inquiry_id,date,channel,category,outcome
I01323,2024-10-11,Instagram,Head Unit,Cotización enviada
I01324,2024-10-11,WhatsApp,Amplificador,Cancelado
I01330,2024-10-12,TikTok,Accesorios,Venta concretada
I01331,2024-10-12,Facebook,Accesorios,Cotización enviada
I01332,2024-10-12,Facebook,Accesorios,Sin respuesta
I01333,2024-10-12,Instagram,Accesorios,Venta concretada
I01334,2024-10-12,WhatsApp,Amplificador,Cotización enviada
I01335,2024-10-12,Instagram,Bocinas,Venta concretada
I01340,2024-10-13,WhatsApp,Subwoofer,Sin respuesta
I01341,2024-10-13,Tienda física,Amplificador,Cotización enviada
I01342,2024-10-13,WhatsApp,Subwoofer,Venta concretada
I01343,2024-10-13,WhatsApp,Head Unit,Cancelado
I01344,2024-10-13,WhatsApp,Accesorios,Cotización enviada
I01350,2024-10-14,WhatsApp,Accesorios,Cotización enviada
I01351,2024-10-14,TikTok,Head Unit,Sin respuesta
I01352,2024-10-14,WhatsApp,Subwoofer,Venta concretada
I01353,2024-10-14,WhatsApp,Bocinas,Cancelado
I01360,2024-10-15,Facebook,Amplificador,Cotización enviada
I01361,2024-10-15,Instagram,Subwoofer,Sin respuesta
I01370,2024-10-16,WhatsApp,Head Unit,Cancelado
I01371,2024-10-16,Instagram,Bocinas,Cotización enviada
I01372,2024-10-16,Instagram,Head Unit,Venta concretada
I01373,2024-10-16,WhatsApp,Head Unit,Sin respuesta
I01374,2024-10-16,WhatsApp,Accesorios,Cotización enviada
I01375,2024-10-16,WhatsApp,Amplificador,Cotización enviada
I01380,2024-10-17,WhatsApp,Bocinas,Cotización enviada
I01381,2024-10-17,TikTok,Accesorios,Venta concretada
I01382,2024-10-17,Instagram,Accesorios,Cotización enviada
I01383,2024-10-17,TikTok,Accesorios,Cancelado
I01384,2024-10-17,TikTok,Head Unit,Venta concretada
I01385,2024-10-17,WhatsApp,Subwoofer,Venta concretada
I01390,2024-10-18,Instagram,Bocinas,Venta concretada
I01391,2024-10-18,Instagram,Accesorios,Cotización enviada
I01392,2024-10-18,WhatsApp,Amplificador,Sin respuesta
I01393,2024-10-18,WhatsApp,Amplificador,Venta concretada
I01400,2024-10-19,TikTok,Subwoofer,Cotización enviada
I01401,2024-10-19,TikTok,Head Unit,Cotización enviada
I01402,2024-10-19,WhatsApp,Head Unit,Sin respuesta
I01410,2024-10-20,TikTok,Amplificador,Sin respuesta
I01411,2024-10-20,WhatsApp,Accesorios,Cotización enviada
I01412,2024-10-20,WhatsApp,Head Unit,Venta concretada
I01413,2024-10-20,Facebook,Bocinas,Venta concretada
I01420,2024-10-21,Tienda física,Bocinas,Cotización enviada
I01421,2024-10-21,WhatsApp,Accesorios,Cotización enviada
I01430,2024-10-22,Facebook,Subwoofer,Sin respuesta
I01440,2024-10-23,Facebook,Accesorios,Sin respuesta
I01450,2024-10-24,TikTok,Amplificador,Sin respuesta
I01451,2024-10-24,WhatsApp,Bocinas,Cotización enviada
I01460,2024-10-25,WhatsApp,Amplificador,Cancelado
I01470,2024-10-26,Tienda física,Bocinas,Venta concretada
I01471,2024-10-26,TikTok,Accesorios,Cancelado
I01472,2024-10-26,WhatsApp,Subwoofer,Cotización enviada
I01473,2024-10-26,Facebook,Subwoofer,Venta concretada
I01480,2024-10-27,TikTok,Accesorios,Venta concretada
I01481,2024-10-27,Tienda física,Bocinas,Cancelado
I01482,2024-10-27,Tienda física,Amplificador,Cotización enviada
I01483,2024-10-27,Facebook,Amplificador,Sin respuesta
I01484,2024-10-27,WhatsApp,Amplificador,Sin respuesta
I01485,2024-10-27,WhatsApp,Amplificador,Cotización enviada
I01490,2024-10-28,WhatsApp,Subwoofer,Venta concretada
I01491,2024-10-28,WhatsApp,Subwoofer,Sin respuesta
I01492,2024-10-28,WhatsApp,Head Unit,Sin respuesta
I01500,2024-10-29,WhatsApp,Accesorios,Venta concretada
I01510,2024-10-30,Instagram,Subwoofer,Sin respuesta
I01511,2024-10-30,WhatsApp,Head Unit,Cotización enviada
I01512,2024-10-30,Facebook,Accesorios,Cotización enviada
I01513,2024-10-30,WhatsApp,Bocinas,Venta concretada
I01520,2024-10-31,Facebook,Subwoofer,Venta concretada
I01521,2024-10-31,Facebook,Head Unit,Cotización enviada
I01530,2024-11-01,Tienda física,Accesorios,Sin respuesta
I01531,2024-11-01,Tienda física,Subwoofer,Cotización enviada
I01540,2024-11-02,TikTok,Head Unit,Cotización enviada
I01550,2024-11-03,Instagram,Accesorios,Cotización enviada
I01551,2024-11-03,Facebook,Amplificador,Cancelado
I01552,2024-11-03,TikTok,Subwoofer,Cotización enviada
I01553,2024-11-03,Instagram,Bocinas,Sin respuesta
I01554,2024-11-03,WhatsApp,Head Unit,Venta concretada
I01560,2024-11-04,WhatsApp,Amplificador,Venta concretada
I01561,2024-11-04,WhatsApp,Subwoofer,Venta concretada
I01562,2024-11-04,WhatsApp,Bocinas,Venta concretada
I01563,2024-11-04,Tienda física,Amplificador,Cotización enviada
I01564,2024-11-04,WhatsApp,Bocinas,Sin respuesta
I01570,2024-11-05,WhatsApp,Subwoofer,Cancelado
I01571,2024-11-05,TikTok,Subwoofer,Venta concretada
I01572,2024-11-05,Instagram,Accesorios,Cancelado
I01580,2024-11-06,Tienda física,Amplificador,Cotización enviada
I01581,2024-11-06,Instagram,Accesorios,Venta concretada
I01582,2024-11-06,Tienda física,Head Unit,Venta concretada
I01583,2024-11-06,Tienda física,Subwoofer,Cotización enviada
I01584,2024-11-06,Instagram,Bocinas,Cotización enviada
I01590,2024-11-07,WhatsApp,Head Unit,Venta concretada
I01591,2024-11-07,WhatsApp,Head Unit,Venta concretada
I01592,2024-11-07,TikTok,Bocinas,Cotización enviada
I01593,2024-11-07,WhatsApp,Accesorios,Cancelado
I01594,2024-11-07,Facebook,Amplificador,Cancelado
I01595,2024-11-07,Tienda física,Subwoofer,Venta concretada
I01600,2024-11-08,WhatsApp,Subwoofer,Sin respuesta
I01601,2024-11-08,TikTok,Accesorios,Venta concretada
I01602,2024-11-08,Facebook,Subwoofer,Venta concretada
I01603,2024-11-08,WhatsApp,Head Unit,Cotización enviada
I01604,2024-11-08,Instagram,Amplificador,Cotización enviada
I01605,2024-11-08,WhatsApp,Amplificador,Cancelado
I01610,2024-11-09,WhatsApp,Amplificador,Venta concretada
I01611,2024-11-09,Facebook,Subwoofer,Cancelado
I01620,2024-11-10,Facebook,Amplificador,Sin respuesta
I01621,2024-11-10,TikTok,Amplificador,Cotización enviada
I01622,2024-11-10,WhatsApp,Amplificador,Cotización enviada
I01623,2024-11-10,WhatsApp,Amplificador,Venta concretada
I01624,2024-11-10,TikTok,Amplificador,Cotización enviada
I01625,2024-11-10,WhatsApp,Head Unit,Venta concretada
I01630,2024-11-11,TikTok,Subwoofer,Venta concretada
I01631,2024-11-11,Facebook,Bocinas,Cotización enviada
I01632,2024-11-11,Instagram,Amplificador,Cotización enviada
I01633,2024-11-11,Facebook,Accesorios,Venta concretada
I01640,2024-11-12,TikTok,Subwoofer,Cotización enviada
I01641,2024-11-12,WhatsApp,Subwoofer,Cancelado
I01650,2024-11-13,TikTok,Amplificador,Sin respuesta
I01651,2024-11-13,Facebook,Head Unit,Cancelado
I01652,2024-11-13,TikTok,Head Unit,Sin respuesta
I01653,2024-11-13,TikTok,Bocinas,Sin respuesta
I01654,2024-11-13,Instagram,Amplificador,Sin respuesta
I01655,2024-11-13,WhatsApp,Subwoofer,Cancelado
I01660,2024-11-14,Facebook,Bocinas,Venta concretada
I01661,2024-11-14,Facebook,Bocinas,Venta concretada
I01670,2024-11-15,WhatsApp,Amplificador,Sin respuesta
I01680,2024-11-16,WhatsApp,Subwoofer,Sin respuesta
I01681,2024-11-16,Facebook,Accesorios,Cotización enviada
I01682,2024-11-16,WhatsApp,Amplificador,Venta concretada
I01690,2024-11-17,Instagram,Bocinas,Cancelado
I01691,2024-11-17,Instagram,Subwoofer,Venta concretada
I01692,2024-11-17,Instagram,Subwoofer,Cotización enviada
I01693,2024-11-17,TikTok,Amplificador,Venta concretada
I01694,2024-11-17,TikTok,Amplificador,Cotización enviada
I01695,2024-11-17,Tienda física,Subwoofer,Venta concretada
I01700,2024-11-18,Instagram,Bocinas,Cancelado
I01701,2024-11-18,WhatsApp,Subwoofer,Cancelado
I01710,2024-11-19,TikTok,Amplificador,Venta concretada
I01711,2024-11-19,WhatsApp,Amplificador,Sin respuesta
I01712,2024-11-19,WhatsApp,Head Unit,Cotización enviada
I01713,2024-11-19,WhatsApp,Accesorios,Cotización enviada
I01720,2024-11-20,WhatsApp,Accesorios,Cancelado
I01721,2024-11-20,Tienda física,Accesorios,Cancelado
I01722,2024-11-20,TikTok,Accesorios,Venta concretada
I01723,2024-11-20,TikTok,Accesorios,Venta concretada
I01724,2024-11-20,WhatsApp,Head Unit,Venta concretada
I01725,2024-11-20,Instagram,Bocinas,Sin respuesta
I01730,2024-11-21,TikTok,Accesorios,Cotización enviada
I01731,2024-11-21,WhatsApp,Accesorios,Cancelado
I01740,2024-11-22,Instagram,Accesorios,Cotización enviada
I01741,2024-11-22,WhatsApp,Amplificador,Sin respuesta
I01742,2024-11-22,TikTok,Bocinas,Venta concretada
I01743,2024-11-22,WhatsApp,Bocinas,Sin respuesta
I01744,2024-11-22,TikTok,Amplificador,Venta concretada
I01745,2024-11-22,Tienda física,Accesorios,Venta concretada
I01750,2024-11-23,Instagram,Head Unit,Cancelado
I01751,2024-11-23,Instagram,Head Unit,Cotización enviada
I01752,2024-11-23,WhatsApp,Head Unit,Venta concretada
I01753,2024-11-23,Tienda física,Accesorios,Cotización enviada
I01760,2024-11-24,Facebook,Subwoofer,Venta concretada
I01761,2024-11-24,WhatsApp,Amplificador,Venta concretada
I01770,2024-11-25,TikTok,Head Unit,Cotización enviada
I01771,2024-11-25,Facebook,Bocinas,Cotización enviada
I01772,2024-11-25,Tienda física,Accesorios,Venta concretada
I01773,2024-11-25,Facebook,Bocinas,Sin respuesta
I01780,2024-11-26,TikTok,Accesorios,Sin respuesta
I01790,2024-11-27,TikTok,Amplificador,Cotización enviada
I01800,2024-11-28,WhatsApp,Amplificador,Venta concretada
I01810,2024-11-29,Tienda física,Accesorios,Cotización enviada
I01811,2024-11-29,TikTok,Subwoofer,Cotización enviada
I01812,2024-11-29,WhatsApp,Accesorios,Venta concretada
I01813,2024-11-29,TikTok,Bocinas,Cotización enviada
I01814,2024-11-29,WhatsApp,Bocinas,Cotización enviada
I01815,2024-11-29,WhatsApp,Accesorios,Cotización enviada
I01820,2024-11-30,WhatsApp,Amplificador,Sin respuesta
I01821,2024-11-30,WhatsApp,Subwoofer,Cotización enviada
I01822,2024-11-30,WhatsApp,Accesorios,Venta concretada
I01823,2024-11-30,WhatsApp,Amplificador,Cotización enviada
I01824,2024-11-30,Instagram,Accesorios,Venta concretada
I01825,2024-11-30,TikTok,Amplificador,Cancelado
I01830,2024-12-01,TikTok,Amplificador,Venta concretada
I01831,2024-12-01,Instagram,Subwoofer,Venta concretada
I01840,2024-12-02,WhatsApp,Accesorios,Cancelado
I01841,2024-12-02,WhatsApp,Accesorios,Cotización enviada
I01842,2024-12-02,Instagram,Subwoofer,Sin respuesta
I01843,2024-12-02,Instagram,Amplificador,Venta concretada
I01844,2024-12-02,WhatsApp,Accesorios,Cotización enviada
I01850,2024-12-03,WhatsApp,Subwoofer,Cotización enviada
I01851,2024-12-03,WhatsApp,Head Unit,Venta concretada
I01852,2024-12-03,WhatsApp,Accesorios,Venta concretada
I01853,2024-12-03,Instagram,Accesorios,Sin respuesta
I01854,2024-12-03,Facebook,Subwoofer,Venta concretada
I01860,2024-12-04,WhatsApp,Head Unit,Venta concretada
I01861,2024-12-04,Instagram,Head Unit,Sin respuesta
I01862,2024-12-04,WhatsApp,Accesorios,Cancelado
I01870,2024-12-05,WhatsApp,Amplificador,Cotización enviada
I01871,2024-12-05,TikTok,Subwoofer,Cancelado
I01880,2024-12-06,TikTok,Bocinas,Sin respuesta
I01881,2024-12-06,WhatsApp,Amplificador,Sin respuesta
I01882,2024-12-06,WhatsApp,Amplificador,Cancelado
I01883,2024-12-06,Instagram,Amplificador,Sin respuesta
I01890,2024-12-07,Instagram,Subwoofer,Cotización enviada
I01891,2024-12-07,Instagram,Accesorios,Sin respuesta
I01892,2024-12-07,WhatsApp,Amplificador,Venta concretada
I01893,2024-12-07,WhatsApp,Accesorios,Venta concretada
I01894,2024-12-07,Facebook,Bocinas,Venta concretada
I01895,2024-12-07,Tienda física,Subwoofer,Venta concretada
I01900,2024-12-08,WhatsApp,Accesorios,Sin respuesta
I01901,2024-12-08,TikTok,Subwoofer,Cotización enviada
I01902,2024-12-08,Instagram,Head Unit,Sin respuesta
I01903,2024-12-08,WhatsApp,Bocinas,Cancelado
I01910,2024-12-09,Tienda física,Head Unit,Sin respuesta
I01911,2024-12-09,WhatsApp,Head Unit,Sin respuesta
I01920,2024-12-10,WhatsApp,Subwoofer,Venta concretada
I01930,2024-12-11,WhatsApp,Subwoofer,Cotización enviada
I01940,2024-12-12,Facebook,Subwoofer,Sin respuesta
I01941,2024-12-12,TikTok,Subwoofer,Cotización enviada
I01942,2024-12-12,WhatsApp,Subwoofer,Cotización enviada
I01943,2024-12-12,Tienda física,Head Unit,Venta concretada
I01944,2024-12-12,Facebook,Amplificador,Cotización enviada
I01945,2024-12-12,Instagram,Accesorios,Sin respuesta
I01950,2024-12-13,Instagram,Subwoofer,Cancelado
I01960,2024-12-14,Facebook,Amplificador,Cotización enviada
I01961,2024-12-14,WhatsApp,Bocinas,Cotización enviada
I01962,2024-12-14,Facebook,Subwoofer,Venta concretada
I01963,2024-12-14,Instagram,Bocinas,Cotización enviada
I01964,2024-12-14,TikTok,Accesorios,Venta concretada
I01965,2024-12-14,TikTok,Head Unit,Cancelado
I01970,2024-12-15,WhatsApp,Accesorios,Venta concretada
I01980,2024-12-16,Tienda física,Amplificador,Venta concretada
I01990,2024-12-17,Facebook,Head Unit,Cotización enviada
I01991,2024-12-17,WhatsApp,Bocinas,Cancelado
I01992,2024-12-17,Instagram,Subwoofer,Cotización enviada
I02000,2024-12-18,WhatsApp,Head Unit,Cotización enviada
I02001,2024-12-18,WhatsApp,Head Unit,Cotización enviada
I02002,2024-12-18,Tienda física,Head Unit,Venta concretada
I02003,2024-12-18,TikTok,Amplificador,Venta concretada
I02004,2024-12-18,TikTok,Subwoofer,Venta concretada
I02010,2024-12-19,Tienda física,Amplificador,Cotización enviada
I02011,2024-12-19,WhatsApp,Accesorios,Venta concretada
I02012,2024-12-19,WhatsApp,Accesorios,Cotización enviada
I02013,2024-12-19,WhatsApp,Accesorios,Sin respuesta
I02014,2024-12-19,Instagram,Bocinas,Venta concretada
I02020,2024-12-20,Instagram,Bocinas,Sin respuesta
I02021,2024-12-20,WhatsApp,Accesorios,Venta concretada
I02022,2024-12-20,WhatsApp,Subwoofer,Sin respuesta
I02030,2024-12-21,TikTok,Amplificador,Cotización enviada
I02031,2024-12-21,Facebook,Head Unit,Sin respuesta
I02040,2024-12-22,Instagram,Accesorios,Cancelado
I02041,2024-12-22,WhatsApp,Subwoofer,Venta concretada
I02042,2024-12-22,WhatsApp,Head Unit,Venta concretada
I02043,2024-12-22,Instagram,Bocinas,Cancelado
I02044,2024-12-22,WhatsApp,Bocinas,Venta concretada
I02050,2024-12-23,Instagram,Accesorios,Cancelado
I02060,2024-12-24,WhatsApp,Bocinas,Cotización enviada
I02061,2024-12-24,WhatsApp,Subwoofer,Venta concretada
I02062,2024-12-24,Tienda física,Subwoofer,Cancelado
I02063,2024-12-24,WhatsApp,Accesorios,Cancelado
I02070,2024-12-25,Instagram,Subwoofer,Cancelado
I02080,2024-12-26,Instagram,Head Unit,Cotización enviada
I02081,2024-12-26,Instagram,Amplificador,Sin respuesta
I02082,2024-12-26,WhatsApp,Bocinas,Venta concretada
I02083,2024-12-26,WhatsApp,Head Unit,Sin respuesta
I02084,2024-12-26,WhatsApp,Head Unit,Sin respuesta
I02085,2024-12-26,Tienda física,Subwoofer,Venta concretada
I02090,2024-12-27,TikTok,Accesorios,Cotización enviada
I02091,2024-12-27,Facebook,Head Unit,Venta concretada
I02092,2024-12-27,TikTok,Accesorios,Sin respuesta
I02100,2024-12-28,Tienda física,Bocinas,Sin respuesta
I02101,2024-12-28,Instagram,Bocinas,Cotización enviada
I02110,2024-12-29,Facebook,Subwoofer,Cotización enviada
I02111,2024-12-29,WhatsApp,Amplificador,Cancelado
I02112,2024-12-29,TikTok,Bocinas,Sin respuesta
I02113,2024-12-29,WhatsApp,Amplificador,Sin respuesta
I02114,2024-12-29,WhatsApp,Head Unit,Sin respuesta
I02120,2024-12-30,WhatsApp,Amplificador,Sin respuesta
I02121,2024-12-30,Tienda física,Head Unit,Venta concretada
I02122,2024-12-30,Tienda física,Head Unit,Cotización enviada
I02123,2024-12-30,Facebook,Subwoofer,Sin respuesta
I02124,2024-12-30,Instagram,Head Unit,Sin respuesta
I02130,2024-12-31,Facebook,Amplificador,Cotización enviada
I02131,2024-12-31,WhatsApp,Accesorios,Sin respuesta
I02132,2024-12-31,Facebook,Bocinas,Sin respuesta
I02140,2025-01-01,TikTok,Subwoofer,Cotización enviada
I02141,2025-01-01,Facebook,Accesorios,Venta concretada
I02142,2025-01-01,Instagram,Subwoofer,Venta concretada
I02143,2025-01-01,WhatsApp,Bocinas,Cotización enviada
I02144,2025-01-01,WhatsApp,Subwoofer,Sin respuesta
I02145,2025-01-01,WhatsApp,Bocinas,Cotización enviada
I02150,2025-01-02,WhatsApp,Amplificador,Cotización enviada
I02151,2025-01-02,WhatsApp,Bocinas,Venta concretada
I02160,2025-01-03,Instagram,Accesorios,Sin respuesta
I02161,2025-01-03,Instagram,Accesorios,Cotización enviada
I02162,2025-01-03,WhatsApp,Bocinas,Cancelado
I02163,2025-01-03,Instagram,Accesorios,Cotización enviada
I02164,2025-01-03,WhatsApp,Head Unit,Venta concretada
I02170,2025-01-04,WhatsApp,Accesorios,Cotización enviada
I02180,2025-01-05,Instagram,Accesorios,Cotización enviada
I02181,2025-01-05,Instagram,Amplificador,Sin respuesta
I02182,2025-01-05,Facebook,Amplificador,Sin respuesta
I02183,2025-01-05,Tienda física,Subwoofer,Venta concretada
I02184,2025-01-05,WhatsApp,Subwoofer,Venta concretada
I02185,2025-01-05,Instagram,Head Unit,Cancelado
I02190,2025-01-06,WhatsApp,Subwoofer,Cancelado
I02200,2025-01-07,WhatsApp,Head Unit,Cancelado
I02201,2025-01-07,WhatsApp,Accesorios,Venta concretada
I02202,2025-01-07,Instagram,Subwoofer,Venta concretada
I02203,2025-01-07,WhatsApp,Accesorios,Venta concretada
I02210,2025-01-08,Facebook,Subwoofer,Cotización enviada
I02211,2025-01-08,WhatsApp,Head Unit,Cotización enviada
I02212,2025-01-08,TikTok,Head Unit,Venta concretada
I02213,2025-01-08,Instagram,Amplificador,Venta concretada
I02214,2025-01-08,WhatsApp,Accesorios,Sin respuesta
I02220,2025-01-09,WhatsApp,Bocinas,Cotización enviada
I02221,2025-01-09,TikTok,Amplificador,Venta concretada
I02222,2025-01-09,Instagram,Accesorios,Venta concretada
I02223,2025-01-09,Tienda física,Amplificador,Cotización enviada
I02230,2025-01-10,Facebook,Amplificador,Cotización enviada
I02231,2025-01-10,WhatsApp,Accesorios,Cotización enviada
I02232,2025-01-10,Tienda física,Subwoofer,Cotización enviada
I02233,2025-01-10,Facebook,Bocinas,Cancelado
I02240,2025-01-11,WhatsApp,Amplificador,Venta concretada
I02241,2025-01-11,Instagram,Amplificador,Cotización enviada
I02242,2025-01-11,Facebook,Subwoofer,Cancelado
I02250,2025-01-12,WhatsApp,Bocinas,Venta concretada
I02251,2025-01-12,TikTok,Accesorios,Venta concretada
I02260,2025-01-13,Facebook,Head Unit,Cotización enviada
I02261,2025-01-13,TikTok,Amplificador,Venta concretada
I02262,2025-01-13,Instagram,Accesorios,Cotización enviada
I02263,2025-01-13,Instagram,Accesorios,Venta concretada
I02264,2025-01-13,TikTok,Head Unit,Cancelado
I02265,2025-01-13,WhatsApp,Bocinas,Venta concretada
I02270,2025-01-14,WhatsApp,Amplificador,Cotización enviada
I02271,2025-01-14,Instagram,Subwoofer,Cotización enviada
I02272,2025-01-14,WhatsApp,Amplificador,Cotización enviada
I02280,2025-01-15,Instagram,Amplificador,Cotización enviada
I02281,2025-01-15,Tienda física,Head Unit,Venta concretada
I02282,2025-01-15,TikTok,Accesorios,Cotización enviada
I02283,2025-01-15,Instagram,Bocinas,Sin respuesta
I02290,2025-01-16,TikTok,Subwoofer,Cancelado
I02291,2025-01-16,WhatsApp,Head Unit,Venta concretada
I02300,2025-01-17,TikTok,Subwoofer,Cotización enviada
I02301,2025-01-17,WhatsApp,Bocinas,Venta concretada
I02302,2025-01-17,WhatsApp,Subwoofer,Cancelado
I02310,2025-01-18,WhatsApp,Head Unit,Venta concretada
I02311,2025-01-18,WhatsApp,Bocinas,Cotización enviada
I02312,2025-01-18,WhatsApp,Amplificador,Cotización enviada
I02313,2025-01-18,WhatsApp,Head Unit,Sin respuesta
I02320,2025-01-19,WhatsApp,Head Unit,Cotización enviada
I02321,2025-01-19,Facebook,Subwoofer,Sin respuesta
I02322,2025-01-19,Instagram,Amplificador,Venta concretada
I02330,2025-01-20,WhatsApp,Amplificador,Sin respuesta
I02331,2025-01-20,Tienda física,Head Unit,Sin respuesta
I02332,2025-01-20,Instagram,Head Unit,Sin respuesta
I02333,2025-01-20,Instagram,Accesorios,Venta concretada
I02340,2025-01-21,Instagram,Amplificador,Cancelado
I02341,2025-01-21,WhatsApp,Head Unit,Sin respuesta
I02342,2025-01-21,WhatsApp,Amplificador,Cotización enviada
I02343,2025-01-21,WhatsApp,Subwoofer,Cotización enviada
I02344,2025-01-21,TikTok,Subwoofer,Venta concretada
I02345,2025-01-21,TikTok,Bocinas,Sin respuesta
I02350,2025-01-22,Tienda física,Head Unit,Venta concretada
I02351,2025-01-22,WhatsApp,Bocinas,Venta concretada
I02352,2025-01-22,Tienda física,Head Unit,Cancelado
I02353,2025-01-22,Instagram,Head Unit,Sin respuesta
I02360,2025-01-23,Instagram,Accesorios,Cotización enviada
I02361,2025-01-23,WhatsApp,Accesorios,Sin respuesta
I02362,2025-01-23,WhatsApp,Accesorios,Sin respuesta
I02363,2025-01-23,TikTok,Subwoofer,Sin respuesta
I02364,2025-01-23,WhatsApp,Amplificador,Venta concretada
I02370,2025-01-24,WhatsApp,Subwoofer,Cotización enviada
I02371,2025-01-24,WhatsApp,Head Unit,Cancelado
I02372,2025-01-24,Instagram,Amplificador,Venta concretada
I02373,2025-01-24,WhatsApp,Accesorios,Cotización enviada
I02374,2025-01-24,Instagram,Accesorios,Cotización enviada
I02375,2025-01-24,Facebook,Accesorios,Cotización enviada
I02380,2025-01-25,Tienda física,Head Unit,Cancelado
I02381,2025-01-25,WhatsApp,Head Unit,Cancelado
I02390,2025-01-26,WhatsApp,Amplificador,Sin respuesta
I02391,2025-01-26,WhatsApp,Bocinas,Cancelado
I02392,2025-01-26,Facebook,Accesorios,Sin respuesta
I02393,2025-01-26,TikTok,Subwoofer,Venta concretada
I02394,2025-01-26,WhatsApp,Head Unit,Cotización enviada
I02395,2025-01-26,WhatsApp,Subwoofer,Sin respuesta
I02400,2025-01-27,WhatsApp,Subwoofer,Cancelado
I02401,2025-01-27,Instagram,Head Unit,Sin respuesta
I02402,2025-01-27,WhatsApp,Amplificador,Cancelado
I02410,2025-01-28,Tienda física,Amplificador,Cotización enviada
I02411,2025-01-28,Instagram,Amplificador,Sin respuesta
I02420,2025-01-29,WhatsApp,Amplificador,Cotización enviada
I02421,2025-01-29,WhatsApp,Accesorios,Venta concretada
I02422,2025-01-29,WhatsApp,Head Unit,Venta concretada
I02430,2025-01-30,WhatsApp,Head Unit,Venta concretada
I02431,2025-01-30,Tienda física,Subwoofer,Cotización enviada
I02432,2025-01-30,Tienda física,Bocinas,Cotización enviada
I02433,2025-01-30,WhatsApp,Amplificador,Cotización enviada
I02434,2025-01-30,Instagram,Amplificador,Venta concretada
I02440,2025-01-31,Instagram,Subwoofer,Venta concretada
I02450,2025-02-01,Instagram,Accesorios,Sin respuesta
I02460,2025-02-02,WhatsApp,Accesorios,Venta concretada
I02461,2025-02-02,TikTok,Bocinas,Cotización enviada
I02462,2025-02-02,WhatsApp,Subwoofer,Cancelado
I02463,2025-02-02,WhatsApp,Accesorios,Sin respuesta
I02470,2025-02-03,Tienda física,Accesorios,Venta concretada
I02480,2025-02-04,WhatsApp,Amplificador,Venta concretada
I02481,2025-02-04,WhatsApp,Accesorios,Venta concretada
I02490,2025-02-05,TikTok,Amplificador,Venta concretada
I02500,2025-02-06,Instagram,Amplificador,Cancelado
I02501,2025-02-06,Facebook,Amplificador,Cotización enviada
I02502,2025-02-06,WhatsApp,Bocinas,Cotización enviada
I02503,2025-02-06,Instagram,Head Unit,Cotización enviada
I02510,2025-02-07,WhatsApp,Subwoofer,Cancelado
I02511,2025-02-07,Instagram,Bocinas,Venta concretada
I02520,2025-02-08,WhatsApp,Subwoofer,Cotización enviada
I02530,2025-02-09,Facebook,Accesorios,Sin respuesta
I02540,2025-02-10,TikTok,Bocinas,Venta concretada
I02541,2025-02-10,Instagram,Head Unit,Cotización enviada
I02542,2025-02-10,WhatsApp,Bocinas,Venta concretada
I02543,2025-02-10,TikTok,Subwoofer,Venta concretada
I02544,2025-02-10,Instagram,Bocinas,Venta concretada
I02550,2025-02-11,WhatsApp,Bocinas,Venta concretada
I02551,2025-02-11,Tienda física,Accesorios,Sin respuesta
I02552,2025-02-11,Tienda física,Accesorios,Cotización enviada
I02553,2025-02-11,WhatsApp,Subwoofer,Cotización enviada
I02554,2025-02-11,Instagram,Subwoofer,Sin respuesta
I02560,2025-02-12,WhatsApp,Amplificador,Cotización enviada
I02561,2025-02-12,WhatsApp,Subwoofer,Venta concretada
I02570,2025-02-13,TikTok,Accesorios,Cotización enviada
I02580,2025-02-14,WhatsApp,Head Unit,Cotización enviada
I02590,2025-02-15,Instagram,Subwoofer,Sin respuesta
I02591,2025-02-15,Facebook,Accesorios,Cancelado
I02592,2025-02-15,TikTok,Amplificador,Venta concretada
I02593,2025-02-15,TikTok,Accesorios,Cotización enviada
I02600,2025-02-16,WhatsApp,Subwoofer,Sin respuesta
I02601,2025-02-16,WhatsApp,Amplificador,Cancelado
I02602,2025-02-16,Instagram,Bocinas,Cotización enviada
I02603,2025-02-16,TikTok,Head Unit,Cancelado
I02604,2025-02-16,Instagram,Bocinas,Cotización enviada
I02610,2025-02-17,WhatsApp,Bocinas,Cotización enviada
I02611,2025-02-17,WhatsApp,Head Unit,Sin respuesta
I02612,2025-02-17,Instagram,Head Unit,Sin respuesta
I02613,2025-02-17,WhatsApp,Accesorios,Venta concretada
I02614,2025-02-17,TikTok,Subwoofer,Venta concretada
I02615,2025-02-17,WhatsApp,Bocinas,Venta concretada
I02620,2025-02-18,Tienda física,Accesorios,Sin respuesta
I02630,2025-02-19,WhatsApp,Amplificador,Venta concretada
I02631,2025-02-19,WhatsApp,Bocinas,Sin respuesta
I02632,2025-02-19,TikTok,Head Unit,Venta concretada
I02633,2025-02-19,WhatsApp,Accesorios,Venta concretada
I02634,2025-02-19,TikTok,Head Unit,Sin respuesta
I02635,2025-02-19,WhatsApp,Amplificador,Venta concretada
I02640,2025-02-20,WhatsApp,Subwoofer,Cancelado
I02650,2025-02-21,WhatsApp,Accesorios,Sin respuesta
I02651,2025-02-21,Instagram,Subwoofer,Cotización enviada
I02652,2025-02-21,WhatsApp,Subwoofer,Venta concretada
I02660,2025-02-22,Instagram,Accesorios,Sin respuesta
I02661,2025-02-22,Instagram,Head Unit,Cotización enviada
I02662,2025-02-22,WhatsApp,Subwoofer,Cancelado
